ID,target
0,False
1,False
2,False
3,False
4,False
5,True
6,False
7,False
8,True
9,False
10,False
11,True
12,False
13,True
14,False
15,False
16,False
17,False
18,False
19,False
20,False
21,True
22,True
23,True
24,False
25,False
26,False
27,False
28,False
29,False
30,False
31,False
32,False
33,False
34,True
35,False
36,False
37,True
38,False
39,False
40,False
41,False
42,False
43,False
44,False
45,True
46,False
47,True
48,False
49,False
50,False
51,True
52,False
53,False
54,False
55,True
56,False
57,False
58,False
59,False
60,False
61,False
62,False
63,False
64,False
65,False
66,False
67,True
68,False
69,False
70,False
71,False
72,False
73,False
74,False
75,False
76,False
77,True
78,False
79,False
80,True
81,False
82,False
83,False
84,False
85,False
86,False
87,False
88,False
89,True
90,False
91,True
92,False
93,False
94,False
95,True
96,False
97,True
98,True
99,False
100,False
101,False
102,True
103,False
104,False
105,True
106,True
107,True
108,True
109,False
110,False
111,False
112,False
113,True
114,True
115,False
116,True
117,False
118,False
119,False
120,True
121,False
122,False
123,True
124,False
125,False
126,False
127,False
128,False
129,True
130,False
131,True
132,False
133,False
134,False
135,True
136,False
137,False
138,True
139,False
140,True
141,False
142,True
143,False
144,True
145,False
146,True
147,False
148,True
149,True
150,False
151,True
152,False
153,False
154,False
155,True
156,False
157,True
158,True
159,False
160,False
161,False
162,False
163,True
164,True
165,False
166,False
167,False
168,False
169,False
170,True
171,True
172,False
173,False
174,True
175,True
176,True
177,False
178,True
179,False
180,False
181,False
182,False
183,False
184,False
185,False
186,False
187,False
188,True
189,False
190,False
191,False
192,False
193,False
194,True
195,False
196,False
197,False
198,False
199,False
200,True
201,True
202,True
203,False
204,False
205,True
206,True
207,True
208,True
209,False
210,False
211,False
212,False
213,False
214,True
215,False
216,False
217,False
218,False
219,False
220,False
221,False
222,False
223,False
224,False
225,False
226,False
227,False
228,False
229,True
230,False
231,True
232,False
233,True
234,False
235,False
236,False
237,True
238,False
239,False
240,False
241,False
242,True
243,False
244,True
245,False
246,False
247,False
248,True
249,False
250,True
251,False
252,False
253,True
254,False
255,True
256,False
257,False
258,False
